Filter,alpha_x,beta_x,delta_x
F660,6614.302289387447,0.006619605316773919,151.06640836516706
I,7709.970953001391,1.1294371504165924e-07,8853967.656643404
R,6295.736595343692,0.0007578642946167448,1319.4974444675538
